iter	Quantile:alpha=0.5
312	42.60391608
313	42.59951826
314	42.59257398
315	42.58712572
316	42.57716952
317	42.56967502
318	42.56492708
319	42.55597352
320	42.55251006
321	42.54697673
322	42.53464447
323	42.52747098
324	42.52151619
325	42.51204184
326	42.50428661
327	42.49770628
328	42.49015923
329	42.48466447
330	42.47616023
331	42.4695551
332	42.45919263
333	42.44446388
334	42.43177692
335	42.41881864
336	42.41363422
337	42.40479544
338	42.40175501
339	42.39214505
340	42.38801268
341	42.37964156
342	42.36051959
343	42.35716768
344	42.33762832
345	42.33163532
346	42.32596719
347	42.30294102
348	42.30118274
349	42.29239986
350	42.28794996
351	42.27664033
352	42.27256619
353	42.26265972
354	42.26038229
355	42.25485065
356	42.24787924
357	42.24113662
358	42.23437039
359	42.22944983
360	42.22533516
361	42.21479125
362	42.20997793
363	42.2050899
364	42.19888402
365	42.18412143
366	42.17701473
367	42.16411589
368	42.15619078
369	42.14692976
370	42.13478115
371	42.12640682
372	42.11613075
373	42.09919394
374	42.08669108
375	42.07797272
376	42.07413436
377	42.06339072
378	42.05215351
379	42.04094867
380	42.03521097
381	42.03161332
382	42.02242886
383	42.01597344
384	42.0035931
385	41.98868778
386	41.98503541
387	41.97580214
388	41.9605788
389	41.95399635
390	41.94892592
391	41.93984417
392	41.93351522
393	41.92212266
394	41.91496378
395	41.90090266
396	41.89803799
397	41.89404475
398	41.88999193
399	41.88601561
400	41.88116842
401	41.87143436
402	41.86437074
403	41.85526025
404	41.85034569
405	41.84077032
406	41.83491081
407	41.82895125
408	41.82364931
409	41.81831658
410	41.80987214
411	41.803187
412	41.79515917
413	41.79253848
414	41.78805613
415	41.77619817
416	41.77180907
417	41.76865669
418	41.76167581
419	41.74921481
420	41.74463419
421	41.73518802
422	41.7237785
423	41.71787699
424	41.70863472
425	41.6966148
426	41.69138427
427	41.68564004
428	41.68202085
429	41.6710372
430	41.66809607
431	41.64760855
432	41.64292189
433	41.62951182
434	41.61810349
435	41.60980026
436	41.60550139
437	41.5950209
438	41.58258756
439	41.57849304
440	41.55553844
441	41.54897268
442	41.54493487
443	41.53825684
444	41.52234919
445	41.51339199
446	41.5046279
447	41.49825446
448	41.48315733
449	41.47118171
450	41.46593461
451	41.46214067
452	41.45490494
453	41.44375081
454	41.43893589
455	41.432103
456	41.4262349
457	41.4234718
458	41.41637051
459	41.40925785
460	41.39722165
461	41.39279742
462	41.38860605
463	41.38293569
464	41.37679427
465	41.36728978
466	41.36554414
467	41.36209507
468	41.35012568
469	41.34178792
470	41.32826299
471	41.32363149
472	41.31485034
473	41.31101796
474	41.30714887
475	41.30340168
476	41.29694338
477	41.2922407
478	41.28943278
479	41.2848442
480	41.27731207
481	41.2665279
482	41.25961356
483	41.25246419
484	41.24789093
485	41.24592388
486	41.23803003
487	41.23431576
488	41.22636476
489	41.22247138
490	41.21762655
491	41.20638397
492	41.20273167
493	41.19067665
494	41.18619697
495	41.17773656
496	41.16787528
497	41.16296564
498	41.15267372
499	41.14910548
500	41.14328926
501	41.13630101
502	41.13279798
503	41.12943908
504	41.1199928
505	41.11177607
506	41.09959375
507	41.08783297
508	41.08123526
509	41.07050094
510	41.06680712
511	41.05742961
512	41.04916771
513	41.04084853
514	41.03484917
515	41.02454278
516	41.02225711
517	41.01933723
518	41.01458687
519	41.00365598
520	40.9976551
521	40.99334099
522	40.98443705
523	40.97768606
524	40.97251296
525	40.96131456
526	40.95494896
527	40.948565
528	40.93891969
529	40.93684085
530	40.92965642
531	40.92352893
532	40.92093931
533	40.9139447
534	40.91155241
535	40.90693745
536	40.90350672
537	40.89856959
538	40.89330142
539	40.8826768
540	40.87752899
541	40.87303489
542	40.8659766
543	40.86177066
544	40.85819081
545	40.85389306
546	40.84971741
547	40.84568483
548	40.84312741
549	40.83554275
550	40.82949922
551	40.81999103
552	40.81479872
553	40.81111131
554	40.8077158
555	40.79697077
556	40.79064436
557	40.77866675
558	40.77132031
559	40.76268937
560	40.75906316
561	40.75364112
562	40.74649425
563	40.73712728
564	40.73253968
565	40.72706287
566	40.71877331
567	40.71336097
568	40.71007626
569	40.70284075
570	40.70132805
571	40.69630274
572	40.69457237
573	40.69167841
574	40.68811916
575	40.67851599
576	40.67272659
577	40.66683929
578	40.65906926
579	40.6542197
580	40.64731934
581	40.64418719
582	40.64058745
583	40.62813522
584	40.62345591
585	40.61931158
586	40.60899543
587	40.60260753
588	40.60005739
589	40.59413152
590	40.59062953
591	40.58044286
592	40.57604815
593	40.55750319
594	40.55303729
595	40.54861195
596	40.54485791
597	40.54283717
598	40.53663754
599	40.52046875
600	40.51707206
601	40.50977185
602	40.5026284
603	40.49508073
604	40.48367433
605	40.47923013
606	40.47645173
607	40.46991018
608	40.46337676
609	40.4586956
610	40.45288492
611	40.44766139
612	40.44101021
613	40.43747544
614	40.42635036
615	40.41304797
616	40.40747314
617	40.40385733
618	40.39775408
619	40.38691902
620	40.38145344
621	40.37575707
622	40.36821772
623	40.36148245
624	40.35496237
625	40.3486762
626	40.34580251
627	40.34332025
628	40.34039043
629	40.33615299
630	40.33025174
631	40.32729625
632	40.31628601
633	40.31290076
634	40.31065013
635	40.30789527
636	40.30344655
637	40.29738402
638	40.29454967
639	40.29061622
640	40.28475128
641	40.28103764
642	40.26854947
643	40.2527371
644	40.24454646
645	40.23633165
646	40.23374795
647	40.23078063
648	40.22519052
649	40.21971743
650	40.20932633
651	40.20335133
652	40.19943382
653	40.19714982
654	40.18848186
655	40.18563605
656	40.17221859
657	40.16559853
658	40.15401316
659	40.15065301
660	40.1447664
661	40.13966281
662	40.13706672
663	40.13022299
664	40.12175508
665	40.11791985
666	40.11098571
667	40.10272513
668	40.09147079
669	40.08703974
670	40.08366643
671	40.07567231
672	40.07277222
673	40.06285825
674	40.05824386
675	40.05546681
676	40.04862481
677	40.04436272
678	40.02866689
679	40.02134644
680	40.01560349
681	40.00970226
682	40.00587793
683	40.00134204
684	39.99676396
685	39.99130428
686	39.9882281
687	39.98075053
688	39.97836731
689	39.97168303
690	39.96712655
691	39.96385703
692	39.95624152
693	39.95391714
694	39.94911172
695	39.94312141
696	39.94049558
697	39.93752946
698	39.93310454
699	39.92663687
700	39.92192749
701	39.91822232
702	39.90960379
703	39.90470921
704	39.88924783
705	39.88318846
706	39.87998728
707	39.87596681
708	39.87099549
709	39.86805818
710	39.8651342
711	39.861187
712	39.8576007
713	39.85303565
714	39.84913591
715	39.84604483
716	39.84190549
717	39.8390363
718	39.83474856
719	39.83092558
720	39.82385216
721	39.81894169
722	39.816424
723	39.81273022
724	39.80997894
725	39.79870185
726	39.79601446
727	39.79336056
728	39.78901123
729	39.78598041
730	39.77867466
731	39.77466202
732	39.76819763
733	39.76279503
734	39.76056378
735	39.75898306
736	39.75072033
737	39.74242075
738	39.73489683
739	39.72933412
740	39.7257774
741	39.72265202
742	39.71430654
743	39.70693692
744	39.70022295
745	39.69306949
746	39.68792438
747	39.68387031
748	39.67267427
749	39.67086182
750	39.66249915
751	39.66150923
752	39.65853826
753	39.65356917
754	39.65242009
755	39.64958497
756	39.64321872
757	39.63841995
758	39.63537755
759	39.63204829
760	39.62796294
761	39.62084233
762	39.61299463
763	39.6083052
764	39.60472784
765	39.60339614
766	39.59234253
767	39.5895678
768	39.58537287
769	39.58314379
770	39.57889724
771	39.5762143
772	39.56574787
773	39.56091853
774	39.55657036
775	39.55312961
776	39.53868513
777	39.53368818
778	39.5297447
779	39.52500212
780	39.52302672
781	39.51633069
782	39.5078525
783	39.50636959
784	39.50362927
785	39.49870509
786	39.49558041
787	39.4914706
788	39.48281597
789	39.48056205
790	39.47609733
791	39.47437594
792	39.46817071
793	39.46282205
794	39.46061788
795	39.45279177
796	39.4478068
797	39.44572229
798	39.44426789
799	39.44205485
800	39.43722534
801	39.43627749
802	39.43346774
803	39.43208156
804	39.42741154
805	39.42576441
806	39.42234513
807	39.4175587
808	39.4157953
809	39.41146509
810	39.4067528
811	39.40303894
812	39.3990754
813	39.39417884
814	39.38760512
815	39.38669622
816	39.38216316
817	39.3785459
818	39.37238806
819	39.36926185
820	39.36289737
821	39.35936588
822	39.35739438
823	39.34524737
824	39.33987658
825	39.33559098
826	39.32774116
827	39.32598863
828	39.32355931
829	39.3208988
830	39.31712297
831	39.31536536
832	39.31153863
833	39.29978175
834	39.29530133
835	39.29249364
836	39.28881377
837	39.2830631
838	39.2755364
839	39.27233454
840	39.26821025
841	39.26093221
842	39.25563357
843	39.24657216
844	39.2407699
845	39.23732841
846	39.23463008
847	39.23031149
848	39.22179543
849	39.21726012
850	39.2130853
851	39.20862274
852	39.20214139
853	39.19694298
854	39.19427275
855	39.19191119
856	39.18532765
857	39.18326569
858	39.18045021
859	39.1773367
860	39.17524447
861	39.1708577
862	39.16797667
863	39.16478168
864	39.16088544
865	39.15740128
866	39.15420659
867	39.1522026
868	39.14504505
869	39.13815491
870	39.13682745
871	39.13214128
872	39.12243184
873	39.12026952
874	39.11849635
875	39.11492525
876	39.10563824
877	39.10081187
878	39.09183216
879	39.08733517
880	39.08094862
881	39.07991681
882	39.07821439
883	39.07331376
884	39.06909282
885	39.06083787
886	39.05790735
887	39.05268977
888	39.04576593
889	39.0394985
890	39.03314132
891	39.02670836
892	39.0232897
893	39.01576775
894	39.01385578
895	39.01267207
896	39.00662482
897	38.9992021
898	38.99418063
899	38.98723508
900	38.98478208
901	38.98147713
902	38.97935161
903	38.97570637
904	38.97283558
905	38.97022697
906	38.96389402
907	38.95978465
908	38.95310372
909	38.95017515
910	38.94285343
911	38.94078078
912	38.93733429
913	38.93505957
914	38.93377252
915	38.92552024
916	38.9223801
917	38.91852963
918	38.91515903
919	38.9085694
920	38.9067369
921	38.90412765
922	38.90076228
923	38.89928099
924	38.89656144
925	38.892599
926	38.88752453
927	38.87941134
928	38.87547354
929	38.8720369
930	38.87027605
931	38.86801097
932	38.86657442
933	38.86356181
934	38.8607894
935	38.85864098
936	38.85446091
937	38.85181724
938	38.84740264
939	38.84353433
940	38.8420744
941	38.83823101
942	38.8287992
943	38.82407029
944	38.82193122
945	38.81979187
946	38.81562725
947	38.80959706
948	38.80537472
949	38.80326379
950	38.78831704
951	38.78353801
952	38.78198618
953	38.7800443
954	38.77355693
955	38.76903607
956	38.76236139
957	38.75628425
958	38.75373721
959	38.74672949
960	38.74411784
961	38.73908869
962	38.73708537
963	38.73257994
964	38.73033956
965	38.7198725
966	38.71609857
967	38.71467857
968	38.70203198
969	38.69421502
970	38.6885064
971	38.68303674
972	38.67945197
973	38.67713689
974	38.67378328
975	38.67052957
976	38.66556856
977	38.66153418
978	38.65816757
979	38.65421365
980	38.65219761
981	38.64691158
982	38.64167524
983	38.64081943
984	38.63680284
985	38.63460741
986	38.63333079
987	38.63095932
988	38.628826
989	38.62470917
990	38.61900465
991	38.6156895
992	38.61221855
993	38.61063102
994	38.60800696
995	38.60585649
996	38.60307073
997	38.60032091
998	38.59822283
999	38.59322112
